Type,Name,Website,Address
fast_food,Fazoli's,Not Provided," West Washington Street, Fairview Station, Indianapolis, Marion County, Indiana, 46241, United States"
fast_food,McDonald's,Not Provided," West Washington Street, Sterling Heights, Indianapolis, Marion County, Indiana, 46241, United States"
restaurant,Bravo Mexican Resteraunt,Not Provided," East Main Street, Plainfield, Hendricks County, Indiana, 46168, United States"
restaurant,88 Buffet,Not Provided," East Main Street, Richmond, Wayne County, Indiana, 47374, United States"
fast_food,Subway,Not Provided," North Park Road, Connersville, Fayette County, Indiana, 47331, United States"
restaurant,Bartonia’s Restaurant,Not Provided," 3460, South Arba Pike, South Salem, Randolph County, Indiana, 47390, United States"
fast_food,Einstein Bros. Bagels,Not Provided," Purdue Road, Indianapolis, Marion County, Indiana, 46268, United States"
restaurant,Bravo,Not Provided," Lake Circle Drive, Indianapolis, Marion County, Indiana, 46260, United States"
restaurant,Buffalo Wild Wings,Not Provided," Arbor Way Lane, Indianapolis, Marion County, Indiana, 46268, United States"
fast_food,Panera Bread,Not Provided," Colby Boulevard, Indianapolis, Marion County, Indiana, 46268, United States"
restaurant,Noodles 'n Company,Not Provided," West 86th Street, Indianapolis, Marion County, Indiana, 46268, United States"
cafe,Main Street Cafe,Not Provided," 223, North Main Street, Kokomo, Howard County, Indiana, 46901, United States"
fast_food,Subway,Not Provided," 1501, East 29th Street, Muncie, Delaware County, Indiana, 47302, United States"
fast_food,McDonald's,Not Provided," 7800, Colonel H. Weir Cook Memorial Drive, Indianapolis, Marion County, Indiana, 46241, United States"
restaurant,Sweet Owen Family Restaurant,Not Provided," 661, West Morgan Street, Spencer, Owen County, Indiana, 47460, United States"
restaurant,NAISA Pan-Asian Restaurant,http://www.naisacafe.com/," 1025, Virginia Avenue, North Square, Indianapolis, Marion County, Indiana, 46203, United States"
restaurant,Siam Square,http://siamsquareindy.com/," 936, Virginia Avenue, North Square, Indianapolis, Marion County, Indiana, 46203, United States"
fast_food,Papa John's,https://locations.papajohns.com/united-states/in/46038-2793/fishers/7270-fishers-crossing-dr," 7270, Fishers Crossing Drive, Fishers, Hamilton County, Indiana, 46038, United States"
restaurant,Cafe Korea,https://cafekoreabbq.com/," 11003, Allisonville Road, Fishers, Hamilton County, Indiana, 46038, United States"
restaurant,Dragon House Chinese Eatery,http://mydragonhouse.com/," 7260, Fishers Crossing Drive, Fishers, Hamilton County, Indiana, 46038, United States"
restaurant,Tequila Sunrise Mexican Cuisine,https://tequilasunrisein.com/," 11653, Fishers Station Drive, Fishers, Hamilton County, Indiana, 46038, United States"
restaurant,A2Z Cafe,Not Provided," Cameron Ridge Way, Indianapolis, Marion County, Indiana, 46250, United States"
fast_food,Chipotle,https://www.chipotle.com/," 4625, East 96th Street, Indianapolis, Marion County, Indiana, 46240, United States"
restaurant,Jasmine Thai Restaurant,http://www.jasminethaiindy.com/," 4825, East 96th Street, Indianapolis, Marion County, Indiana, 46240, United States"
restaurant,Red Habenero,http://redhabanerogrill.com," 4825, East 96th Street, Indianapolis, Marion County, Indiana, 46240, United States"
fast_food,Hardees;Red Burrito,Not Provided," Allisonville Road, Fishers, Hamilton County, Indiana, 46038, United States"
fast_food,Subway,http://www.subway.com," 9546, Allisonville Road, Indianapolis, Marion County, Indiana, 46250, United States"
fast_food,China Wok,Not Provided," 9546, Allisonville Road, Indianapolis, Marion County, Indiana, 46250, United States"
cafe,The Pour House,Not Provided," 314, East Kirkwood Avenue, Bloomington, Monroe County, Indiana, 47408, United States"
restaurant,MacKenzie River Pizza Co,https://www.mackenzieriverpizza.com/," 4939, East 82nd Street, Allisonville, Indianapolis, Marion County, Indiana, 46250, United States"
ice_cream,Cold Stone Creamery,https://www.coldstonecreamery.com/index.html," 5025, East 82nd Street, Allisonville, Indianapolis, Marion County, Indiana, 46250, United States"
restaurant,Wasabi on 82nd,https://www.wasabion82nd.com/," East 82nd Street, Allisonville, Indianapolis, Marion County, Indiana, 46256, United States"
fast_food,Qdoba,https://www.qdoba.com/," East 82nd Street, Allisonville, Indianapolis, Marion County, Indiana, 46256, United States"
fast_food,Jersey Mike's Subs,https://www.jerseymikes.com," East 82nd Street, Allisonville, Indianapolis, Marion County, Indiana, 46256, United States"
restaurant,Noodles & Company,http://www.noodles.com/locations/9014/," 5265, East 82nd Street, Ivy Hills, Allisonville, Indianapolis, Marion County, Indiana, 46250, United States"
